text,label
tampilkan seluruh baris dataset,1
tampilkan semua data,1
muat semua baris,1
tampilkan seluruh isi tabel,1
lihatkan semua baris yang ada,1
tunjukan semua data dataset,1
munculkan seluruh baris,1
print semua baris data,1
tampilkan tabel secara keseluruhan,1
ambil semua data dari dataset,1
tampilkan semua rekord,1
tampilkan seluruh record,1
tampilkan isi dataset sepenuhnya,1
load semua data,1
buka semua baris dataset,1
tampilkan setiap baris yang tersedia,1
tampilkan data tanpa filter,1
tampilkan semua baris tanpa kecuali,1
tampilkan seluruh baris tabel ini,1
perlihatkan semua isi dataset,1
tampilkan data secara utuh,1
tampilkan seluruh informasi baris,1
tampilkan semua entri data,1
tampilkan data lengkap,1
tampilkan dataset utuh,1
tampilkan semua list data,1
tampilkan baris pertama sampai terakhir,1
tampilkan dari awal sampai akhir,1
tampilkan isi lengkap dataset,1
tampilkan data mentah semua,1
liat semua baris,1
liatin semua datanya,1
tolong tampilkan seluruh baris,1
tampilkan semua dong,1
cek semua baris dataset,1
tampilkan data dari baris satu sampai habis,1
tampilkan semua row,1
tampilkan seluruh row dataset,1
show all rows,1
show all data,1
tampilkan semua isi csv,1
muat seluruh isi file,1
tampilkan data tanpa limit,1
tampilkan semua baris yang tersimpan,1
tampilkan detail semua baris,1
tampilkan koleksi data lengkap,1
tampilkan semua record dataset,1
tampilkan seluruh tabel data,1
display all rows,1
display all data,1
tampilkan semua baris teks,1
tampilkan seluruh baris mentah,1
tampilkan data secara keseluruhan,1
buka seluruh data,1
tampilkan semua baris di dataset ini,1
tampilkan seluruh baris yang tersaring,1
tampilkan semua baris di tabel,1
tampilkan semua objek data,1
tampilkan setiap baris data,1
tampilkan seluruh row tabel,1
tampilkan semua data yang ada di file,1
tampilkan semua baris secara detail,1
tampilkan semua baris informasi,1
tampilkan dataset lengkap,1
tampilkan semua baris yang tersedia di sistem,1
tampilkan seluruh baris di memori,1
tampilkan data row demi row,1
tampilkan semua baris tanpa limitasi,1
tampilkan data secara total,1
tampilkan semua isi data frame,1
tampilkan seluruh baris dataframe,1
tampilkan semua nilai dataset,1
tampilkan semua baris di layar,1
tampilkan semua baris sekarang,1
tampilkan seluruh baris data ini,1
tampilkan semua baris yang tersimpan sekarang,1
tampilkan semua baris yang terinput,1
tampilkan semua baris yang terbaca,1
tampilkan seluruh baris hasil,1
tampilkan semua baris tabel secara lengkap,1
tampilkan semua baris dataset utama,1
tampilkan semua baris database,1
tampilkan semua baris file ini,1
tampilkan semua baris dokumen ini,1
tampilkan semua baris record,1
tampilkan semua baris entri,1
tampilkan semua baris item,1
tampilkan semua baris nilai,1
tampilkan semua baris teks data,1
tampilkan semua baris mentah dataset,1
tampilkan semua baris fisik,1
tampilkan semua baris secara penuh,1
tampilkan semua baris log,1
tampilkan seluruh baris tanpa sensor,1
tampilkan semua baris aktif,1
tampilkan seluruh baris objek,1
tampilkan semua baris statistik,1
tampilkan semua baris kumpulan data,1
tampilkan semua baris daftar,1
tampilkan semua baris yang terdaftar,1
deskripsikan dataset,2
tampilkan statistik deskriptif,2
berikan ringkasan data,2
tampilkan ringkasan statistik,2
deskripsikan data ini,2
tampilkan deskripsi data,2
statistik data,2
ringkasan statistik dataset,2
tampilkan deskripsi tabel,2
hitung statistik deskriptif,2
tampilkan rangkuman data,2
berikan deskripsi lengkap dataset,2
tampilkan statistik utama,2
jelaskan statistik data,2
tampilkan ringkasan informasi statistik,2
tampilkan nilai statistik dasar,2
tampilkan info statistik,2
berikan ringkasan variabel,2
tampilkan deskripsi kolom,2
statistik deskriptif dataset,2
tampilkan rangkuman statistik tabel,2
tampilkan ringkasan nilai data,2
tampilkan statistik umum,2
tampilkan ringkasan numerik,2
deskripsikan isi dataset secara statistik,2
tampilkan ringkasan dataframe,2
tampilkan statistik ringkas,2
berikan gambaran statistik data,2
tampilkan statistik deskripsi,2
tampilkan analisis statistik dasar,2
deskripsi statistik,2
ringkasan data lengkap,2
tampilkan rata-rata dan standar deviasi,2
hitung ringkasan statistik,2
tampilkan ringkasan distribusi data,2
tampilkan statistik deskriptif tabel ini,2
